"","genes","logFC","logCPM","LR","PValue","FDR","symbol"
"ENSG00000160180","ENSG00000160180",-0.252226222715708,12.7182251596004,76.3659280346365,2.35682755526146e-18,6.01815916236013e-14,"TFF3"
"ENSG00000113739","ENSG00000113739",-0.277917789759926,9.83458886622592,73.6469301443394,9.34170181052804e-18,1.19270177865917e-13,"STC2"
"ENSG00000149273","ENSG00000149273",0.123958668058184,12.9107439841386,63.9812302501305,1.2561025199261e-15,1.0691525948771e-11,"RPS3"
"ENSG00000141424","ENSG00000141424",-0.192513456030842,10.1507041050174,53.2519841180765,2.93390980137866e-13,1.83423601213802e-09,"SLC39A6"
"ENSG00000112562","ENSG00000112562",-0.293769124354127,9.65462442251125,52.8546838601924,3.59161153737619e-13,1.83423601213802e-09,"SMOC2"
"ENSG00000108654","ENSG00000108654",-0.169001751841413,10.2253302650902,50.2399527988418,1.36049494504439e-12,5.79003973695142e-09,"DDX5"
"ENSG00000105640","ENSG00000105640",0.110169497068588,11.8439149231841,48.8784324491717,2.72328907286189e-12,9.93416949650405e-09,"RPL18A"
"ENSG00000125730","ENSG00000125730",0.165611301320306,10.385221917327,47.9568812048092,4.35696280000154e-12,1.39068806372549e-08,"C3"
"ENSG00000012660","ENSG00000012660",-0.237092566434497,9.63634382580351,47.4949083137362,5.51469977061581e-12,1.5646428738075e-08,"ELOVL5"
"ENSG00000137818","ENSG00000137818",0.08042552288499,12.8133480008216,45.7951112974988,1.31290783883636e-11,3.35251016646865e-08,"RPLP1"
"ENSG00000137331","ENSG00000137331",-0.156761186658578,10.1113311024807,42.4340502353152,7.31061563657274e-11,1.69705972981714e-07,"IER3"
"ENSG00000140443","ENSG00000140443",-0.236896854141604,9.42714205472769,41.5737179321441,1.13509005990929e-10,2.41537705664865e-07,"IGF1R"
"ENSG00000172724","ENSG00000172724",0.254961128197805,9.35257434087335,40.576600970453,1.89057130782076e-10,3.71351833424639e-07,"CCL19"
"ENSG00000255823","ENSG00000255823",0.154310221573658,10.5011704607518,37.1738325459737,1.08054047914267e-09,1.97082865249343e-06,"MTRNR2L8"
"ENSG00000269028","ENSG00000269028",0.15833003024747,10.4157383931666,35.6166366518264,2.40227131935873e-09,3.92732910480655e-06,"MTRNR2L2"
"ENSG00000186010","ENSG00000186010",0.118117776156114,10.39414138898,35.5697222115778,2.4608288888547e-09,3.92732910480655e-06,"NDUFA13"
"ENSG00000101443","ENSG00000101443",-0.181616970151525,9.74982731329533,35.0999672902981,3.13206056849640e-09,4.70453921273856e-06,"WFDC2"
"ENSG00000177600","ENSG00000177600",0.0638260758554911,12.5137523361271,34.9633552564155,3.3596905781563e-09,4.76609438406784e-06,"RPLP2"
"ENSG00000107485","ENSG00000107485",-0.16587621542064,10.0361388636239,33.4509597244942,7.30837046957251e-09,9.36177639014208e-06,"GATA3"
"ENSG00000254709","ENSG00000254709",0.130505528466121,13.1841171700013,33.4445475050015,7.33250549453071e-09,9.36177639014208e-06,"IGLL5"
"ENSG00000137558","ENSG00000137558",-0.252309839369342,9.41710144291664,32.0103032317893,1.53357041882094e-08,1.86474860212346e-05,"PI15"
"ENSG00000106624","ENSG00000106624",0.112556328609812,10.7370083191043,31.8427130845448,1.67175674257492e-08,1.94037765552957e-05,"AEBP1"
"ENSG00000102316","ENSG00000102316",-0.140562544853273,10.0351162450433,31.6643366048556,1.83256738955105e-08,2.03454818661678e-05,"MAGED2"
"ENSG00000172551","ENSG00000172551",0.201223382102082,9.73739647856936,30.925488909148,2.68127085736862e-08,2.85276047262116e-05,"MUCL1"
"ENSG00000164128","ENSG00000164128",-0.21593592029479,9.53626052402035,30.8361749108926,2.80755132784445e-08,2.86763292626033e-05,"NPY1R"
"ENSG00000198650","ENSG00000198650",-0.213215743061499,9.23511629095077,30.2765069928232,3.74636184639228e-08,3.50554597200084e-05,"TAT"
"ENSG00000281383","ENSG00000281383",0.204705838286089,9.72972474089599,30.2354619093712,3.8264872387138e-08,3.50554597200084e-05,NA
"ENSG00000177954","ENSG00000177954",0.0844842533407003,11.3712999380061,30.226630283687,3.84395093855585e-08,3.50554597200084e-05,"RPS27"
