"xcoord"	"ycoord"	"tumor"
"11x5"	11	5	"non"
"12x5"	12	5	"non"
"13x5"	13	5	"non"
"14x5"	14	5	"tumor"
"15x5"	15	5	"tumor"
"11x6"	11	6	"non"
"10x6"	10	6	"non"
"16x6"	16	6	"non"
"15x6"	15	6	"non"
"14x6"	14	6	"non"
"12x6"	12	6	"non"
"13x6"	13	6	"tumor"
"10x7"	10	7	"non"
"11x7"	11	7	"non"
"16x7"	16	7	"tumor"
"14x7"	14	7	"tumor"
"9x7"	9	7	"non"
"15x7"	15	7	"tumor"
"17x7"	17	7	"tumor"
"12x7"	12	7	"tumor"
"13x7"	13	7	"tumor"
"10x8"	10	8	"non"
"11x8"	11	8	"tumor"
"19x8"	19	8	"tumor"
"16x8"	16	8	"tumor"
"14x8"	14	8	"non"
"9x8"	9	8	"non"
"13x8"	13	8	"tumor"
"12x8"	12	8	"non"
"17x8"	17	8	"tumor"
"18x8"	18	8	"non"
"11x9"	11	9	"non"
"16x9"	16	9	"tumor"
"17x9"	17	9	"tumor"
"20x9"	20	9	"tumor"
"8x9"	8	9	"non"
"9x9"	9	9	"non"
"10x9"	10	9	"non"
"18x9"	18	9	"tumor"
"19x9"	19	9	"tumor"
"15x9"	15	9	"tumor"
"12x9"	12	9	"tumor"
"14x9"	14	9	"tumor"
"13x9"	13	9	"tumor"
"11x10"	11	10	"non"
"21x10"	21	10	"tumor"
"10x10"	10	10	"non"
"17x10"	17	10	"tumor"
"14x10"	14	10	"tumor"
"19x10"	19	10	"tumor"
"20x10"	20	10	"tumor"
"9x10"	9	10	"non"
"16x10"	16	10	"tumor"
"12x10"	12	10	"non"
"8x10"	8	10	"non"
"15x10"	15	10	"tumor"
"18x10"	18	10	"non"
"6x10"	6	10	"non"
"7x10"	7	10	"non"
"13x10"	13	10	"tumor"
"10x11"	10	11	"non"
"22x11"	22	11	"non"
"8x11"	8	11	"non"
"21x11"	21	11	"tumor"
"16x11"	16	11	"tumor"
"9x11"	9	11	"non"
"19x11"	19	11	"tumor"
"15x11"	15	11	"tumor"
"20x11"	20	11	"tumor"
"17x11"	17	11	"non"
"18x11"	18	11	"non"
"5x11"	5	11	"non"
"14x11"	14	11	"non"
"7x11"	7	11	"non"
"13x11"	13	11	"non"
"6x11"	6	11	"non"
"12x11"	12	11	"non"
"22x12"	22	12	"non"
"10x12"	10	12	"non"
"11x12"	11	12	"non"
"9x12"	9	12	"non"
"21x12"	21	12	"tumor"
"16x12"	16	12	"tumor"
"17x12"	17	12	"non"
"19x12"	19	12	"non"
"4x12"	4	12	"non"
"8x12"	8	12	"non"
"20x12"	20	12	"tumor"
"18x12"	18	12	"non"
"23x12"	23	12	"non"
"5x12"	5	12	"non"
"15x12"	15	12	"tumor"
"7x12"	7	12	"non"
"14x12"	14	12	"tumor"
"13x12"	13	12	"non"
"12x12"	12	12	"non"
"6x12"	6	12	"non"
"21x13"	21	13	"non"
"11x13"	11	13	"non"
"22x13"	22	13	"non"
"20x13"	20	13	"non"
"19x13"	19	13	"tumor"
"25x13"	25	13	"non"
"12x13"	12	13	"non"
"16x13"	16	13	"non"
"24x13"	24	13	"non"
"8x13"	8	13	"non"
"3x13"	3	13	"tumor"
"4x13"	4	13	"non"
"7x13"	7	13	"tumor"
"17x13"	17	13	"tumor"
"13x13"	13	13	"non"
"14x13"	14	13	"non"
"18x13"	18	13	"tumor"
"5x13"	5	13	"non"
"9x13"	9	13	"non"
"15x13"	15	13	"tumor"
"23x13"	23	13	"non"
"10x13"	10	13	"non"
"6x13"	6	13	"non"
"22x14"	22	14	"non"
"15x14"	15	14	"non"
"11x14"	11	14	"non"
"21x14"	21	14	"non"
"20x14"	20	14	"non"
"10x14"	10	14	"tumor"
"19x14"	19	14	"tumor"
"26x14"	26	14	"non"
"16x14"	16	14	"tumor"
"23x14"	23	14	"non"
"24x14"	24	14	"non"
"14x14"	14	14	"non"
"5x14"	5	14	"non"
"9x14"	9	14	"tumor"
"13x14"	13	14	"non"
"17x14"	17	14	"tumor"
"18x14"	18	14	"tumor"
"8x14"	8	14	"tumor"
"12x14"	12	14	"non"
"25x14"	25	14	"non"
"4x14"	4	14	"non"
"3x14"	3	14	"tumor"
"2x14"	2	14	"tumor"
"6x14"	6	14	"non"
"7x14"	7	14	"tumor"
"22x15"	22	15	"non"
"21x15"	21	15	"non"
"10x15"	10	15	"tumor"
"11x15"	11	15	"non"
"20x15"	20	15	"non"
"26x15"	26	15	"non"
"27x15"	27	15	"non"
"16x15"	16	15	"non"
"19x15"	19	15	"non"
"25x15"	25	15	"non"
"9x15"	9	15	"tumor"
"15x15"	15	15	"non"
"8x15"	8	15	"tumor"
"17x15"	17	15	"non"
"4x15"	4	15	"tumor"
"24x15"	24	15	"non"
"14x15"	14	15	"non"
"23x15"	23	15	"non"
"5x15"	5	15	"tumor"
"13x15"	13	15	"non"
"18x15"	18	15	"non"
"2x15"	2	15	"non"
"3x15"	3	15	"non"
"7x15"	7	15	"tumor"
"12x15"	12	15	"non"
"6x15"	6	15	"tumor"
"11x16"	11	16	"tumor"
"10x16"	10	16	"tumor"
"22x16"	22	16	"non"
"27x16"	27	16	"non"
"13x16"	13	16	"non"
"9x16"	9	16	"tumor"
"21x16"	21	16	"non"
"19x16"	19	16	"non"
"28x16"	28	16	"non"
"4x16"	4	16	"tumor"
"5x16"	5	16	"non"
"18x16"	18	16	"tumor"
"14x16"	14	16	"non"
"26x16"	26	16	"non"
"17x16"	17	16	"non"
"20x16"	20	16	"non"
"24x16"	24	16	"non"
"25x16"	25	16	"non"
"12x16"	12	16	"tumor"
"23x16"	23	16	"non"
"16x16"	16	16	"non"
"3x16"	3	16	"tumor"
"6x16"	6	16	"non"
"8x16"	8	16	"tumor"
"7x16"	7	16	"tumor"
"15x16"	15	16	"non"
"2x16"	2	16	"tumor"
"11x17"	11	17	"tumor"
"30x17"	30	17	"tumor"
"22x17"	22	17	"non"
"21x17"	21	17	"non"
"27x17"	27	17	"non"
"5x17"	5	17	"non"
"10x17"	10	17	"tumor"
"24x17"	24	17	"non"
"29x17"	29	17	"non"
"20x17"	20	17	"non"
"4x17"	4	17	"tumor"
